# wavelength evening          morning
3.6610033445 10691.4538718121 10469.9766182914
3.6987290970 10675.7863318680 10449.1869956048
3.7364548495 10673.7917899148 10437.1111088997
3.7741806020 10663.5026123743 10429.3693963495
3.8119063545 10652.6905395353 10402.7734191173
3.8496321070 10639.6289661336 10395.1930996171
3.8873578595 10644.7382622182 10389.4365169695
3.9250836120 10637.0196947501 10374.7466395855
3.9628093645 10645.9411692645 10368.9420361779
4.0193979933 10653.1137881173 10360.0075756472
4.0571237458 10653.9344627058 10345.3290747993
4.0948494983 10689.5718338982 10360.1288514180
4.1325752508 10702.8921501598 10357.8764840148
4.1703010033 10777.2979333429 10433.3960375844
4.2080267559 10993.8360546424 10689.7718236752
4.2646153846 11257.5310305283 10916.0536527535
4.3023411371 11423.4661025535 11058.6190590514
4.3400668896 11470.1032117364 11097.9861414021
4.3966555184 11470.1758487947 11095.6691151688
4.4343812709 11424.6397324119 11041.3686107432
4.4721070234 11336.2118818426 10951.3188991356
4.5286956522 11235.8922835531 10850.1835685422
4.5664214047 11112.1249485171 10734.2274788671
4.6041471572 11002.4704121902 10635.2261498382
4.6607357860 10945.5881809221 10577.6823005908
4.6984615385 10927.3828326736 10578.0607397280
4.7550501672 10916.3570629397 10577.4437451925
4.7927759197 10917.2965598834 10576.7860183514
4.8493645485 10906.6299987828 10559.3565444966
4.8870903010 10900.7842370092 10543.8827703182
4.9436789298 10906.7000855367 10539.8957132605
5.0002675585 10883.5603983394 10505.2233027279
5.0379933110 10908.0767181437 10518.4476473669
5.0945819398 10892.9637033242 10505.3184134645
5.1511705686 10902.4538552057 10526.4905055715
5.1888963211 10896.4956243011 10523.8331098037
5.2454849498 10883.1989131043 10506.4304784329
5.3020735786 10916.7940572830 10545.1107657562
5.3586622074 10903.7324350130 10538.6447166112
5.4152508361 10939.7788876577 10580.5233116089
5.4529765886 10919.8559043637 10564.2419910274
5.5095652174 10917.2013832441 10560.6558192034
5.5661538462 10943.7073127574 10598.3178864094
5.6227424749 10923.0521306466 10587.7251989164
5.6793311037 10921.7608810138 10581.5857605279
5.7359197324 10940.9211536909 10603.3942032561
5.7925083612 10921.8120167023 10591.4944425126
5.8490969900 10943.7847219994 10626.6732414917
5.9056856187 10918.9841666678 10593.8909362005
5.9811371237 10903.6951914745 10586.8927872717
