This model is a 3D, clear morning spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, scattering, CH4, and CO opacity, pulling profiles from a Maria Z. chemical diseq. GCM on alt levels.
Wavelength Depth
0.5 2.092093
0.5001667 2.092124
0.5003334 2.097783
0.5005002 2.091906
0.500667 2.091547
0.5008338999999999 2.100356
0.5010008 2.094877
0.5011678 2.100242
0.5013349 2.091379
0.501502 2.093911
0.5016691999999999 2.091434
0.5018364000000001 2.090921
0.5020036999999999 2.095877
0.5021709999999999 2.119878
0.5023384 2.091057
0.5025058 2.090658
0.5026733 2.091464
0.5028409 2.09073
0.5030085 2.095689
0.5031762 2.09654
0.5033439000000001 2.09114
0.5035117 2.094145
0.5036795000000001 2.164093
0.5038474000000001 2.09087
0.5040154 2.090773
0.5041834000000001 2.090855
0.5043514 2.096596
0.5045196000000001 2.089949
0.5046877 2.09725
0.504856 2.096312
0.5050242 2.090043
0.5051926 2.108663
0.5053610000000001 2.097169
0.5055294 2.092128
0.5056979 2.097599
0.5058665 2.090753
0.5060351 2.089574
0.5062038000000001 2.093833
0.5063725 2.091086
0.5065413000000001 2.08972
0.5067102 2.0914
0.5068790999999999 2.08919
0.507048 2.094586
0.5072171 2.089379
0.5073861 2.108804
0.5075552999999999 2.093477
0.5077244000000001 2.17227
0.5078937 2.089499
0.508063 2.088926
0.5082323 2.089049
0.5084018 2.089698
0.5085712 2.08994
0.5087407 2.088514
0.5089103 2.100416
0.50908 2.091936
0.5092497 2.088499
0.5094194 2.090033
0.5095892 2.088277
0.5097591 2.089662
0.5099290000000001 2.090808
0.510099 2.089449
0.510269 2.115216
0.5104390999999999 2.088254
0.5106092 2.088254
0.5107794 2.087881
0.5109497000000001 2.087497
0.51112 2.092967
0.5112904 2.094495
0.5114607999999999 2.088255
0.5116313 2.087207
0.5118019 2.114159
0.5119725 2.089711
0.5121431 2.087033
0.5123138 2.089159
0.5124846 2.097955
0.5126554 2.087295
0.5128263 2.088162
0.5129973 2.087424
0.5131683 2.087703
0.5133392999999999 2.101362
0.5135103999999999 2.088112
0.5136816 2.096821
0.5138528 2.087978
0.5140241000000001 2.114798
0.5141954000000001 2.086801
0.5143667999999999 2.087343
0.5145383 2.08658
0.5147098 2.088206
0.5148814 2.086084
0.515053 2.086581
0.5152247 2.085902
0.5153964000000001 2.08618
0.5155682 2.089905
0.5157400999999999 2.095302
0.515912 2.086384
0.516084 2.085877
0.5162559999999999 2.087238
0.5164281000000001 2.127326
0.5166002000000001 2.085293
0.5167724 2.087013
0.5169447 2.085468
0.517117 2.085858
0.5172894 2.085737
0.5174618000000001 2.085609
0.5176343 2.085183
0.5178068 2.085187
0.5179794 2.093343
0.5181521 2.085118
0.5183248 2.08554
0.5184976 2.084743
0.5186704 2.084614
0.5188433 2.084469
0.5190163 2.084604
0.5191893 2.084667
0.5193622999999999 2.084166
0.5195354000000001 2.084588
0.5197086000000001 2.084225
0.5198819 2.085433
0.5200552 2.085988
0.5202285 2.083947
0.5204019000000001 2.084107
0.5205753999999999 2.084016
0.5207489 2.083766
0.5209225000000001 2.083785
0.5210961000000001 2.083659
0.5212698 2.083783
0.5214436 2.083522
0.5216174 2.083889
0.5217913000000001 2.08327
0.5219652 2.083728
0.5221392 2.083139
0.5223132 2.08322
0.5224873 2.083203
0.5226615 2.083152
0.5228357 2.083424
0.52301 2.082941
0.5231843 2.083124
0.5233587000000001 2.082988
0.5235332 2.082582
0.5237077 2.083923
0.5238823 2.083236
0.5240569 2.082416
0.5242315999999999 2.082574
0.5244063 2.082439
0.5245811 2.084011
0.524756 2.082363
0.5249309 2.082749
0.5251059 2.082226
0.5252809 2.082938
0.525456 2.082031
0.5256312 2.087296
0.5258064 2.082487
0.5259815999999999 2.082422
0.526157 2.081747
0.5263324 2.081755
0.5265078 2.08356
0.5266833 2.081917
0.5268589 2.082218
0.5270345 2.081584
0.5272102 2.081799
0.5273859 2.081669
0.5275617 2.081341
0.5277375999999999 2.082168
0.5279135 2.081215
0.5280893999999999 2.085286
0.5282654999999999 2.082688
0.5284416000000001 2.081325
0.5286177000000001 2.08225
0.5287939 2.081661
0.5289702000000001 2.080657
0.5291465 2.08095
0.5293229 2.080764
0.5294993 2.081938
0.5296757999999999 2.080601
0.5298524 2.081019
0.530029 2.082264
0.5302057 2.08185
0.5303824 2.082987
0.5305592 2.080911
0.5307361 2.081404
0.530913 2.080243
0.5310899 2.086354
0.531267 2.080087
0.5314441 2.080919
0.5316211999999999 2.079985
0.5317984 2.080038
0.5319756999999999 2.081749
0.532153 2.079695
0.5323304 2.079453
0.5325078 2.081806
0.5326853 2.079764
0.5328629 2.080689
0.5330405 2.080987
0.5332182 2.079979
0.5333959 2.080627
0.5335736999999999 2.079143
0.5337516 2.078834
0.5339295 2.07871
0.5341075 2.080053
0.5342855000000001 2.082168
0.5344636 2.079197
0.5346418000000001 2.079168
0.53482 2.078784
0.5349983 2.080901
0.5351766 2.078799
0.535355 2.078749
0.5355334 2.079845
0.5357119 2.078234
0.5358904999999999 2.078553
0.5360691 2.078917
0.5362478 2.078881
0.5364266 2.078772
0.5366054 2.077857
0.5367843 2.077951
0.5369632 2.08083
0.5371422 2.078958
0.5373211999999999 2.078854
0.5375002999999999 2.081216
0.5376795 2.077998
0.5378587 2.079724
0.538038 2.083411
0.5382174 2.082978
0.5383968 2.079305
0.5385762 2.07733
0.5387558 2.076968
0.5389353 2.09434
0.539115 2.07868
0.5392947 2.078453
0.5394745 2.077582
0.5396543 2.079683
0.5398341999999999 2.077516
0.5400141 2.076833
0.5401941 2.09531
0.5403741999999999 2.077142
0.5405542999999999 2.076701
0.5407345 2.080334
0.5409147000000001 2.076385
0.541095 2.081576
0.5412754000000001 2.07877
0.5414558 2.077933
