This model is a 3D, hazy morning spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria S. 30nm GCM.
Wavelength Depth
0.5 2.173628
0.5001667 2.173626
0.5003334 2.17544
0.5005002 2.173521
0.500667 2.173387
0.5008338999999999 2.176682
0.5010008 2.17446
0.5011678 2.176766
0.5013349 2.173281
0.501502 2.174283
0.5016691999999999 2.173266
0.5018364000000001 2.173076
0.5020036999999999 2.174755
0.5021709999999999 2.183988
0.5023384 2.173087
0.5025058 2.172928
0.5026733 2.173197
0.5028409 2.172927
0.5030085 2.174593
0.5031762 2.174913
0.5033439000000001 2.173026
0.5035117 2.173996
0.5036795000000001 2.207996
0.5038474000000001 2.172885
0.5040154 2.17283
0.5041834000000001 2.172851
0.5043514 2.174823
0.5045196000000001 2.172512
0.5046877 2.174943
0.504856 2.174593
0.5050242 2.172505
0.5051926 2.179494
0.5053610000000001 2.175119
0.5055294 2.173151
0.5056979 2.175261
0.5058665 2.172663
0.5060351 2.172257
0.5062038000000001 2.173687
0.5063725 2.172724
0.5065413000000001 2.172253
0.5067102 2.172795
0.5068790999999999 2.172055
0.507048 2.173847
0.5072171 2.172094
0.5073861 2.179156
0.5075552999999999 2.173421
0.5077244000000001 2.211633
0.5078937 2.17207
0.508063 2.171861
0.5082323 2.1719
0.5084018 2.172136
0.5085712 2.172154
0.5087407 2.171672
0.5089103 2.175747
0.50908 2.172792
0.5092497 2.17162
0.5094194 2.172123
0.5095892 2.171518
0.5097591 2.171954
0.5099290000000001 2.172319
0.510099 2.171891
0.510269 2.182122
0.5104390999999999 2.171422
0.5106092 2.171432
0.5107794 2.171278
0.5109497000000001 2.171132
0.51112 2.173081
0.5112904 2.173498
0.5114607999999999 2.171334
0.5116313 2.170973
0.5118019 2.180818
0.5119725 2.171771
0.5121431 2.170872
0.5123138 2.171558
0.5124846 2.174532
0.5126554 2.170913
0.5128263 2.171186
0.5129973 2.170938
0.5131683 2.171027
0.5133392999999999 2.175595
0.5135103999999999 2.171113
0.5136816 2.174021
0.5138528 2.171072
0.5140241000000001 2.180675
0.5141954000000001 2.170627
0.5143667999999999 2.170781
