Nested Sampling Global Log-Evidence           :    0.504194012415158511E+03  +/-    0.208920447773079415E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.504194012415158511E+03 +/-    0.208920447773079415E+00
Local Log-Evidence    0.504194012415158511E+03 +/-    0.208920447773079415E+00

Dim No.       Mean        Sigma
   1    0.884397986229667481E+03    0.566618564679789500E+02
   2    0.917186615949771689E+00    0.740004117800995426E-01
   3   -0.293861559046231458E+00    0.184325792032763780E+00
   4    0.797235490331475383E+01    0.163207381477168445E+01
   5    0.329432321130764860E+01    0.145570690701162331E+01
   6   -0.213018378855581325E+01    0.209907934921007833E+01
   7   -0.938910271322954237E+01    0.322055991228481586E+01
   8    0.981115675269239040E+00    0.318743676204356549E-02
   9   -0.261758346519859986E+01    0.245771894255479489E+00
  10   -0.146562493624831180E+01    0.818968841849809781E+00
  11    0.106329525883517272E+04    0.512178258379510467E+02
  12   -0.257359672733855127E+00    0.119555250353393053E+00
  13    0.975088543459391843E+01    0.624739676697405821E+00
  14    0.399115910734584167E+01    0.111321810769006979E+01
  15   -0.217242625084806651E+01    0.357204742658862817E+00
  16   -0.346182168334280416E+01    0.845997360052758274E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.831643649395257853E+03
   2    0.851107353492554175E+00
   3   -0.323337257444890724E+00
   4    0.916485040813333995E+01
   5    0.272278491919915577E+01
   6   -0.289789110362197588E+01
   7   -0.628954980929706764E+01
   8    0.982181674392270221E+00
   9   -0.269614812326291231E+01
  10   -0.465432772069017897E+00
  11    0.104027935843008981E+04
  12   -0.215827313336466320E+00
  13    0.976610032618894408E+01
  14    0.363456877093255581E+01
  15   -0.237165738244901592E+01
  16   -0.423259673310052520E+01

MAP Parameters
Dim No.        Parameter
   1    0.831643649395257853E+03
   2    0.851107353492554175E+00
   3   -0.323337257444890724E+00
   4    0.916485040813333995E+01
   5    0.272278491919915577E+01
   6   -0.289789110362197588E+01
   7   -0.628954980929706764E+01
   8    0.982181674392270221E+00
   9   -0.269614812326291231E+01
  10   -0.465432772069017897E+00
  11    0.104027935843008981E+04
  12   -0.215827313336466320E+00
  13    0.976610032618894408E+01
  14    0.363456877093255581E+01
  15   -0.237165738244901592E+01
  16   -0.423259673310052520E+01
