#wvl_cen_um wvl_width_um rp_rs2 rp_rs2_unc delta_t_sec delta_t_sec_err delta_scale_height delta_scale_height_err
0.5006070359441992 0.03657551415222152 0.02140567601662862 0.00014711082349429724 12395.129616483951 14.554543485061817 0.23437308606390378 1.2375412142456308
0.5438771231221753 0.00477419131382395 0.021682888715385054 0.00013726890154058967 12366.72586621314 13.269594813085495 -2.3259235546383197 1.1282848200898827
0.5520848090000001 0.0033266216703694562 0.021761957516510597 0.00013757619953568893 12371.00073064042 13.290580627544692 -1.9405898952353031 1.1300691983037663
0.5589091280000001 0.003447507419246265 0.021466679194518914 0.00011677100105624397 12381.672309673315 11.377964302034638 -0.9786603018398845 0.9674435871132087
0.5659904070000001 0.0035689302615782292 0.021824767827934247 0.00010565715181211909 12379.887751718177 10.148417645347086 -1.1395192621572148 0.8628979059621309
0.573341819 0.0037137233678502524 0.021674794658580424 9.489366317864164e-05 12387.486978122817 9.138846546833145 -0.45452965162218967 0.7770562686476691
0.5809683870000001 0.003845837700824639 0.021631876278552266 8.53167349025372e-05 12394.112576973277 8.221981592058727 0.14269776791693306 0.6990972333405593
0.588898038 0.004008177068694274 0.022013506520206862 8.072950791294496e-05 12402.193948445287 7.64500160593575 0.8711476393171347 0.6500378785518014
0.597149407 0.0041647655733960676 0.021886626570969736 6.826889262341434e-05 12383.900065073376 6.504670568198002 -0.7778517954735542 0.5530780076680215
0.6057262060000003 0.004331089021351098 0.021647612442105633 7.107542932856401e-05 12394.115449962965 6.835119964702324 0.14295673744659865 0.5811754019845398
0.6146635330000001 0.004517601913018143 0.021453260307681028 6.770818530578808e-05 12389.76822123828 6.552521876787661 -0.24889979537227316 0.557146700485221
0.6239919270000001 0.004713128010904011 0.02149304482356552 6.497802705670933e-05 12390.330067918143 6.252399676986847 -0.19825528000637857 0.5316279618216021
0.6337216500000001 0.00491722761463681 0.021463903894408193 6.13552826939362e-05 12387.197906460162 5.911204334575731 -0.4805863941215151 0.5026168630691212
0.643880722 0.0051353539690124905 0.021256992216567537 5.853157731767808e-05 12376.992258397502 5.681010253825213 -1.4005172554298866 0.4830439604565084
0.6544968020000002 0.00536707957653676 0.02127035038781169 5.460064200492735e-05 12391.972405826256 5.272812836747365 -0.05021594756086809 0.44833582085041723
0.6656105830000001 0.005623434102502711 0.02129775084450822 5.2725507342110246e-05 12385.477838366729 5.10071204225597 -0.6356322778306868 0.433702464166567
0.6772537060000001 0.005888627546000391 0.02129957376707843 4.891007591968838e-05 12376.093140221 4.737697822014189 -1.481563216788596 0.4028361536314732
0.6894427130000002 0.006167377291503795 0.021370846604085995 5.008892395627811e-05 12390.93332881402 4.830051123675105 -0.14387771259159773 0.41068875424339524
0.7022454400000002 0.00647884066005272 0.021426017372721335 5.126890549200867e-05 12383.540992927203 4.91679174418039 -0.8102183386535997 0.41806412076964217
0.715674612 0.006800401949234203 0.021254909545083953 4.867331591422345e-05 12385.24529744282 4.698945741705745 -0.6565933741871545 0.3995411484278626
0.729788717 0.007146420254225572 0.02131221791754025 4.6487973028141056e-05 12384.882158798497 4.477883862040783 -0.6893264690182404 0.38074473703476164
0.748474112383299 0.01142654204814586 0.021047610962049695 6.609248149688071e-05 12379.723503997015 6.403779254206221 -1.154324451075135 0.5444994384155833
